Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D.1,PHOSPHORUS,MAGNESIUM,VITAMIN C,VITAMIN D.2,NIACIN,VITAMIN B6,VITAMIN B12,NIACIN.1,BIOTIN,FOLATE,Category
BSN,2.59 Lbs. - Cold Stone Creamery® Series,Germanchokolatekake,9.2,$29.99,200,6000.0,65.0,240.0,14000.0,22000.0,170.0,340.0,1000.0,1.3,0.0,0.0,0.0,160.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.59 Lbs. - Cold Stone Creamery® Series,Mint Mint Chocolate Chocolate Chip,9.2,$29.99,200,6000.0,65.0,140.0,15000.0,22000.0,170.0,240.0,0.0,0.5,0.0,0.0,0.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Banana,9.2,$29.99,200,6000.0,55.0,180.0,15000.0,22000.0,200.0,180.0,0.0,0.0,0.0,0.0,0.0,120.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Candy Cane - Limited Edition,9.2,$29.99,220,7000.0,60.0,160.0,16000.0,22000.0,190.0,220.0,0.0,0.0,0.0,0.0,0.0,130.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Chocolate Cake Batter,9.2,$29.99,200,6000.0,60.0,270.0,15000.0,22000.0,220.0,320.0,0.0,1.3,0.0,0.0,0.0,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Chocolate Milkshake,9.2,$29.99,200,6000.0,70.0,230.0,15000.0,22000.0,190.0,350.0,0.0,1.4,0.0,0.0,0.0,130.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Chocolate Peanut Butter,9.2,$29.99,200,6000.0,55.0,220.0,15000.0,22000.0,150.0,300.0,0.0,1.1,0.0,0.0,0.0,150.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN ISOLATE
BSN,2.91 Lbs.,Cookies & Cream,9.2,$29.99,200,6000.0,60.0,170.0,14000.0,22000.0,150.0,300.0,0.0,1.1,0.0,0.0,0.0,150.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Peanut Butter Cookie,9.2,$29.99,200,6000.0,75.0,170.0,15000.0,22000.0,150.0,260.0,0.0,0.4,0.0,0.0,0.0,150.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Salted Caramel,9.2,$29.99,200,6000.0,65.0,170.0,15000.0,22000.0,180.0,240.0,0.0,0.0,3000.0,0.0,0.0,150.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Strawberry Milkshake,9.2,$29.99,200,6000.0,65.0,160.0,15000.0,22000.0,200.0,230.0,0.0,0.4,0.0,0.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.91 Lbs.,Vanilla Ice Cream,9.2,$29.99,200,6000.0,65.0,190.0,15000.0,22000.0,200.0,240.0,0.0,0.0,0.0,0.0,0.0,160.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,4.56 Lbs. - Cold Stone Creamery® Series,Berry Berry Berry Good,9.2,$48.99,200,6000.0,65.0,140.0,15000.0,22000.0,200.0,230.0,0.0,0.0,0.0,0.0,0.0,140.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,4.56 Lbs. - Cold Stone Creamery® Series,Birthday Cake Remix,9.2,$48.99,200,6000.0,65.0,170.0,15000.0,22000.0,170.0,240.0,0.0,0.5,0.0,0.0,0.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,4.56 Lbs. - Cold Stone Creamery® Series,Cookie Doughn't You Want Some,9.2,$48.99,200,6000.0,60.0,200.0,15000.0,0.0,200.0,230.0,0.0,0.4,0.0,0.0,0.0,120.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,4.56 Lbs. - Cold Stone Creamery® Series,Germanchokolatekake,9.2,$48.99,200,6000.0,65.0,240.0,14000.0,22000.0,170.0,340.0,1000.0,1.3,0.0,0.0,0.0,160.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN ISOLATE
BSN,4.56 Lbs. - Cold Stone Creamery® Series,Mint Mint Chocolate Chocolate Chip,9.2,$48.99,200,6000.0,65.0,140.0,15000.0,22000.0,170.0,240.0,0.0,0.5,0.0,0.0,0.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Birthday Cake,9.3,$32.99,110,0.0,10.0,160.0,1000.0,25000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Chocolate Caramel,9.3,$32.99,120,0.0,0.0,0.0,0.0,0.0,100.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Chocolate Peanut Butter,9.3,$32.99,120,500.0,10.0,160.0,2000.0,25000.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Cinnamon Bun,9.3,$32.99,120,0.0,10.0,160.0,2000.0,25000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Cocoa Pebbles,9.3,$32.99,120,0.0,10.0,180.0,2000.0,25000.0,100.0,230.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Cookies and Cream,9.3,$32.99,110,0.0,10.0,110.0,2000.0,25000.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN ISOLATE
Dymatize,1.6 Lbs.,Fruity Pebbles,9.3,$32.99,110,0.0,10.0,100.0,1000.0,25000.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Fudge Brownie,9.3,$32.99,120,500.0,10.0,190.0,2000.0,25000.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Gourmet Chocolate,9.3,$32.99,120,500.0,10.0,160.0,2000.0,25000.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Gourmet Vanilla,9.3,$32.99,110,0.0,10.0,100.0,1000.0,25000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Orange Dreamsicle,9.3,$32.99,110,0.0,10.0,110.0,2000.0,25000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs.,Peanut Butter,9.3,$32.99,120,1000.0,10.0,160.0,2000.0,25000.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs. - Naturally Flavored,Dutch Chocolate,9.3,$32.99,120,500.0,10.0,110.0,1000.0,25000.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,1.6 Lbs. - Naturally Flavored,Vanilla,9.3,$32.99,110,0.0,10.0,130.0,1000.0,25000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,3 Lbs.,Chocolate Peanut Butter,9.3,$51.99,120,500.0,10.0,160.0,2000.0,25000.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,3 Lbs.,Cocoa Pebbles,9.3,$51.99,120,0.0,10.0,180.0,2000.0,25000.0,100.0,230.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN ISOLATE
Dymatize,3 Lbs.,Cookies and Cream,9.3,$51.99,110,0.0,10.0,110.0,2000.0,25000.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,3 Lbs.,Fruity Pebbles,9.3,$51.99,110,0.0,10.0,100.0,1000.0,25000.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Dymatize,3 Lbs.,Fudge Brownie,9.3,$51.99,120,500.0,10.0,190.0,2000.0,25000.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
